component_id,asset_id,component_type,criticality,installation_date,operating_hours,life_limit,service_interval_hours,hours_at_last_service
BRG-1047,AS-1047,main_bearing,HIGH,2018-03-15,2450.0,5000.0,300.0,2030.0
ENG-1047,AS-1047,engine,HIGH,2018-03-15,2450.0,8000.0,500.0,2200.0
HYD-1047,AS-1047,hydraulics,MEDIUM,2019-06-01,2450.0,6000.0,400.0,2200.0
BRG-1001,AS-1001,main_bearing,HIGH,2018-01-01,980.0,5000.0,300.0,860.0
ENG-1001,AS-1001,engine,HIGH,2018-01-01,980.0,8000.0,500.0,780.0
ENG-1002,AS-1002,engine,HIGH,2018-01-01,1200.0,8000.0,500.0,1120.0
HYD-1002,AS-1002,hydraulics,MEDIUM,2018-01-01,1200.0,6000.0,400.0,1050.0
BRG-1003,AS-1003,main_bearing,HIGH,2018-01-01,660.0,5000.0,300.0,450.0
AVN-1003,AS-1003,avionics,MEDIUM,2018-01-01,660.0,4000.0,350.0,560.0
ENG-1004,AS-1004,engine,HIGH,2018-01-01,450.0,8000.0,500.0,390.0
COM-1004,AS-1004,communications,LOW,2018-01-01,450.0,3000.0,600.0,360.0
BRG-1005,AS-1005,main_bearing,HIGH,2018-01-01,1750.0,5000.0,300.0,1570.0
SEN-1005,AS-1005,sensors,MEDIUM,2018-01-01,1750.0,4000.0,350.0,1530.0
ENG-1006,AS-1006,engine,HIGH,2018-01-01,320.0,8000.0,500.0,280.0
HYD-1006,AS-1006,hydraulics,MEDIUM,2018-01-01,320.0,6000.0,400.0,250.0
ENG-1007,AS-1007,engine,HIGH,2018-01-01,890.0,8000.0,500.0,760.0
COM-1007,AS-1007,communications,LOW,2018-01-01,890.0,3000.0,600.0,690.0
BRG-1008,AS-1008,main_bearing,HIGH,2018-01-01,1340.0,5000.0,300.0,1250.0
AVN-1008,AS-1008,avionics,MEDIUM,2018-01-01,1340.0,4000.0,350.0,1180.0
ENG-1009,AS-1009,engine,HIGH,2018-01-01,570.0,8000.0,500.0,320.0
SEN-1009,AS-1009,sensors,MEDIUM,2018-01-01,570.0,4000.0,350.0,540.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9002,AS-9002,main_bearing,HIGH,2024-01-01,2500.0,3000.0,300.0,2080.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-SHARED,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9002,AS-9002,main_bearing,HIGH,2024-01-01,2500.0,3000.0,300.0,2080.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-9001,AS-9001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-2001,AS-2001,main_bearing,MEDIUM,2024-01-01,1000.0,5000.0,300.0,850.0
BRG-2002,AS-2002,main_bearing,HIGH,2024-01-01,2500.0,3000.0,300.0,2080.0
